Nº;Seção;Subseção;Parâmetro;Tipo;Padrão;Descrição da fonte;Opções do enum;Notas operacionais;EA_Version;EA_SHA256
13;Entries, Signal and Position Management;;StochasticMethod;ENUM_MA_METHOD;MODE_SMA;Stochastic: metodo de suavizacao;;SMA, EMA, SMMA ou LWMA.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
14;Entries, Signal and Position Management;;StochasticPriceField;ENUM_STO_PRICE;STO_LOWHIGH;Stochastic: Low/High ou Close/Close;;"Close/Close usa fechamentos em vez de maximas e minimas; costuma ser menos ruidoso.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
15;Entries, Signal and Position Management;;myBlankSpaceIchimoku;string;"""""";||===================== Ichimoku ======================||;;"Separador visual mantido para compatibilidade do schema .set; nao otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
16;Entries, Signal and Position Management;;IchimokuUseKumo;bool;true;Ichimoku: cruzamento de referencia usa a nuvem;;"Ligado, o gatilho de referencia e o rompimento da nuvem; desligado, o cruzamento do preco com o Kijun.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
17;Entries, Signal and Position Management;;IchimokuChikouFilter;bool;false;Ichimoku: exigir confirmacao do Chikou;;A linha atrasada precisa estar acima (compra) ou abaixo (venda) do preco de Kijun barras atras.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
18;Entries, Signal and Position Management;ATR Settings;myBlankSpace42;string;"""""";||==================== ATR Settings =====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
19;Entries, Signal and Position Management;ATR Settings;ATR_TimeFrame;ENUM_ALLOWED_TIMEFRAMES;M1;Time Frame ATR;M1, M5, M15, M30, H1, H4, D1, W1;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
20;Entries, Signal and Position Management;ATR Settings;PeriodoATR;int;14;ATR Period;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
21;Entries, Signal and Position Management;Stop Loss;myBlankSpace4s2;string;"""""";||====================== Stop Loss ======================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
22;Entries, Signal and Position Management;Stop Loss;AtivarStop;bool;true;Enable Stop Loss;;"Required by Percentage and Fixed-R sizing; recommended for every non-grid baseline.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
23;Entries, Signal and Position Management;Stop Loss;VelaStop;int;0;Stop Loss Candle;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
24;Entries, Signal and Position Management;Stop Loss;Stop;double;3;Stop Loss ATR Multiplier;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
25;Entries, Signal and Position Management;Take Profit;myBlankSpace101;string;"""""";||===================== Take Profit =====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
26;Entries, Signal and Position Management;Take Profit;TakeOrganico;bool;false;Enable Organic ATR Take Profit;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
27;Entries, Signal and Position Management;Take Profit;AtivarTake;bool;true;Enable Take Profit;;Required by supported grid operation.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
28;Entries, Signal and Position Management;Take Profit;VelaTake;int;0;Take Profit Candle;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
29;Entries, Signal and Position Management;Take Profit;Take;double;3;Take Profit ATR Multiplier;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
30;Signal Filters;MTF Alignment;myBlankSpaceMTF;string;"""""";||==================== MTF Alignment ====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
31;Signal Filters;MTF Alignment;AtivarFiltroMTF;bool;false;Enable MTF Filter;;Higher-timeframe alignment uses the EA's MACD trend layer.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
32;Signal Filters;MTF Alignment;MTF_RequererAmbos;bool;false;Require Both Higher Timeframes Aligned;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
33;Signal Filters;Moving Average Filter;myBlankSpaceMA;string;"""""";||================ Moving Average Filter ================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
34;Signal Filters;Moving Average Filter;AtivarFiltroMA;bool;false;Enable Moving Average Filter;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
35;Signal Filters;Moving Average Filter;MA_TimeFrame;ENUM_ALLOWED_TIMEFRAMES;M1;MA Timeframe;M1, M5, M15, M30, H1, H4, D1, W1;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
36;Signal Filters;Moving Average Filter;MA_Period;int;200;MA Period;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
37;Signal Filters;Moving Average Filter;MA_Method;ENUM_MA_METHOD;MODE_EMA;MA Method;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
38;Signal Filters;Moving Average Filter;MA_AppliedPrice;ENUM_APPLIED_PRICE;PRICE_CLOSE;Applied Price;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
39;Signal Filters;Moving Average Filter;MetodoMA;MetodoFiltroMA;MA_PrecoEInclinacao;Price and Slope Rule;MA_ApenasPreco, MA_ApenasInclinacao, MA_PrecoEInclinacao, MA_PrecoOuInclinacao;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
40;Signal Filters;Moving Average Filter;SentidoMA;SentidoFiltroMA;MA_Tendencia;Trend or Reversal Direction;MA_Tendencia, MA_Reversao;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
41;Signal Filters;Moving Average Filter;MA_SlopeLookback;int;3;Slope Lookback Bars;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
42;Signal Filters;ADX Filter;myBlankSpaceMA1;string;"""""";||===================== ADX Filter ======================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
43;Signal Filters;ADX Filter;AtivarFiltroADX;bool;false;Enable ADX Trend Strength Filter;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
44;Signal Filters;ADX Filter;ADX_TimeFrame;ENUM_ALLOWED_TIMEFRAMES;M1;ADX Timeframe;M1, M5, M15, M30, H1, H4, D1, W1;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
45;Signal Filters;ADX Filter;ADX_Period;int;14;ADX Period;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
46;Signal Filters;ADX Filter;ADX_Limiar;double;25;Minimum ADX Value;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
47;Signal Filters;ADX Filter;MetodoADX;MetodoFiltroADX;ADX_ApenasForca;Strength or Strength Plus Direction;ADX_ApenasForca, ADX_ForcaMaisDirecaoDI;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
48;Signal Filters;Volatility Filter;myBlankSpaceVolatility;string;"""""";||================== Volatility Filter ==================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
49;Signal Filters;Volatility Filter;EntradaATR;bool;false;Enable ATR Volatility Filter;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
50;Signal Filters;Volatility Filter;VolatilityFilter;ENUM_VOLATILITY_MODE;VOL_HIGH;Trade Volatility Condition;VOL_LOW, VOL_HIGH;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
51;Signal Filters;News Filter;myBlankSpaceNews;string;"""""";||===================== News Filter =====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
52;Signal Filters;News Filter;AtivarFiltroNoticias;bool;false;Enable News Filter;;"Live calendar errors block new entries; backtests require the exported CSV under Common\Files.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
53;Signal Filters;News Filter;NewsSomenteAltoImpacto;bool;false;High Impact Only;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
54;Signal Filters;News Filter;NewsMinutosAntes;int;15;Minutes Blocked Before Event;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
55;Signal Filters;News Filter;NewsMinutosDepois;int;15;Minutes Blocked After Event;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
56;Signal Filters;News Filter;NewsMoedasManual;string;"""""";"Manual Currencies (e.g. ""USD,EUR""); empty = auto by symbol";;"When non-empty, overrides automatic currency extraction; required for most suffixed/non-FX symbols.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
57;Signal Filters;News Filter;NewsCSVFile;string;"""WhiteRabbit_News.csv""";Common\Files CSV for Backtests;;"Semicolon CSV in Common\Files: datetime;currency;importance;event_name, using broker-server time.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
58;Exit Management;;AtivarBreakeven;bool;true;Enable Breakeven;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
59;Exit Management;;BreakevenDistancia;double;1.0;Breakeven Distance (SL or ATR Stop Multiplier);;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
60;Exit Management;ATR Trailing;myBlankSpace46;string;"""""";||==================== ATR Trailing =====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
61;Exit Management;ATR Trailing;AtivarTrailATR;bool;false;Enable ATR Trailing Stop;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
62;Exit Management;ATR Trailing;MetodoDeCalculo;Candlesticktype;CandleClose;Trailing Price Source;CandleOpen, CandleClose, CandleHigh, CandleLow, Preco;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
63;Exit Management;ATR Trailing;TrailVela;int;0;Trailing Candle;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
64;Exit Management;ATR Trailing;Trail;double;3;Trail;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
65;Exit Management;Reversal Exit;myBlankSpace10;string;"""""";||==================== Reversal Exit ====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
66;Exit Management;Reversal Exit;ReversalExitMode;ENUM_REVERSAL_EXIT_MODE;ReversalExit_OnIndicatorSignal;Declared at source line 319.;ReversalExit_Disabled, ReversalExit_OnOppositeOrder, ReversalExit_OnIndicatorSignal;OnOppositeOrder requires a hedging account, both sides and grid disabled.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
67;Exit Management;Reversal Exit;ReversalExitUseEntryFilters;bool;false;Apply entry filters to indicator exits;;"False uses the raw opposite indicator signal; true also requires entry filters.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
68;Risk and Position Size;;TradeCapitalPercentage;double;100;Percentage of Total Capital Allocated to EA;;Allocation must be positive and no greater than the whole EA capital base.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
69;Risk and Position Size;;PositionSizeMode;ENUM_POSITION_SIZE_MODE;PositionSize_FixedLot;Declared at source line 351.;PositionSize_Percentage, PositionSize_Monetary, PositionSize_FixedLot, PositionSize_FixedR;"Exactly one model is active; compatibility depends on stop and grid selections.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
70;Risk and Position Size;;PositionSizeValue;double;0.01;"Percentage=% risk; Monetary=currency per 1.00 lot; Fixed Lot=lots; Fixed R=% of base capital per 1R";;"Meaning changes with PositionSizeMode; never compare raw values across modes.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
71;Risk and Position Size;Fixed-R Controls;myBlankSpaceRF;string;"""""";||================== Fixed-R Controls ===================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
72;Risk and Position Size;Fixed-R Controls;CapitalBaseR;double;0;Base Capital for 1R (0 = balance at OnInit);;"Zero captures balance at initialization; Fixed-R only.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
73;Risk and Position Size;Fixed-R Controls;MaxRiscoTradeR;double;0;Maximum Risk per Trade in R (0 = no cap);;Zero disables this additional Fixed-R cap.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
74;Risk and Position Size;Daily Loss Limit;myBlankSpaceDL;string;"""""";||================== Daily Loss Limit ===================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
75;Risk and Position Size;Daily Loss Limit;DailyLossLimitPercent;double;0;Maximum Daily Loss Percentage (0 = disabled);;"Zero disables the daily limit; use a value below a total account loss.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
76;Risk and Position Size;Equity/Margin Protection;myBlankSpaceRiskProtection;string;"""""";||============== Equity/Margin Protection ===============||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
77;Risk and Position Size;Equity/Margin Protection;MaxEquityDrawdownPercent;double;30.0;Maximum EA drawdown before closing positions (0 = disabled);;Zero disables the EA equity stop.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
78;Risk and Position Size;Equity/Margin Protection;MinFreeMarginPercent;double;50.0;Minimum free margin to preserve after a new entry (0 = disabled);;Zero disables the post-entry free-margin reserve.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
79;Grid and Recovery;;RecoveryMode;ENUM_RECOVERY_MODE;Recovery_None;Declared at source line 368.;Recovery_None, Recovery_Martingale, Recovery_DAlembert;None, Martingale or D'Alembert are mutually exclusive.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
80;Grid and Recovery;Recovery Target;myBlankSpace457;string;"""""";||=================== Recovery Target ===================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
81;Grid and Recovery;Recovery Target;Multiplicador;double;1;Martingale or Grid Target Profit Multiplier;;"Recovery/grid target multiplier; validate a value greater than one where escalation is intended.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
82;Grid and Recovery;Martingale Limits;myBlankSpace16;string;"""""";||================== Martingale Limits ==================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
83;Grid and Recovery;Martingale Limits;MaxMartingaleSteps;int;0;Consecutive Losses Before Reset (0 = no limit);;"Zero means no step limit; exceeding a positive limit hard-resets the old deficit and forces the next order to the base lot.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
84;Grid and Recovery;Martingale Limits;MaxMartingaleLot;double;0.0;Maximum Martingale or D'Alembert Lot (0 = broker limit only);;Zero means broker maximum only.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
85;Grid and Recovery;DAlembert Settings;myBlankSpace_dal;string;"""""";||================= DAlembert Settings ==================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
86;Grid and Recovery;DAlembert Settings;DAlembertStep;double;0.01;Lot Increment per Loss for D'Alembert;;"Must be positive; supported with Fixed Lot and grid disabled.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
87;Grid and Recovery;Grid Settings;myBlankSpace17;string;"""""";||==================== Grid Settings ====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
88;Grid and Recovery;Grid Settings;GridMode;ENUM_GRID_MODE;Grid_Disabled;Declared at source line 385.;Grid_Disabled, Grid_SeparateProfit, Grid_UnifiedProfit;"Supported with Monetary or Fixed Lot sizing, Recovery_None and a hedging account; targets are frozen per cycle.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
89;Grid and Recovery;Grid Settings;UsarsomenteATRGRID;bool;false;Use ATR Only as Grid Signal;;"Research switch; require an existing basket anchor before adding a grid leg.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
90;Grid and Recovery;Grid Settings;DistanciaMinima;double;2;ATR Distance Multiplier for Next Grid Order;;Positive ATR-distance multiplier between grid entries.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
91;Trading Schedule;Trading Hours;myBlankSpaceTradingHours;string;"""""";||==================== Trading Hours ====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
92;Trading Schedule;Trading Hours;Fecharordensforadohorario;bool;false;Close Positions Outside Trading Hours;;When enabled, positions are closed whenever server time is outside the interval.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
93;Trading Schedule;Trading Hours;TOD_From_Hour;int;00;Trading Start Hour;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
94;Trading Schedule;Trading Hours;TOD_From_Min;int;00;Trading Start Minute;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
95;Trading Schedule;Trading Hours;TOD_To_Hour;int;23;Trading End Hour;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
96;Trading Schedule;Trading Hours;TOD_To_Min;int;55;Trading End Minute;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
97;Trading Schedule;Trading Days;myBlankSpaceTradingDays;string;"""""";||==================== Trading Days =====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
98;Trading Schedule;Trading Days;TradeMonday;bool;true;Allow Trading on Monday;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
99;Trading Schedule;Trading Days;TradeTuesday;bool;true;Allow Trading on Tuesday;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
100;Trading Schedule;Trading Days;TradeWednesday;bool;true;Allow Trading on Wednesday;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
101;Trading Schedule;Trading Days;TradeThursday;bool;true;Allow Trading on Thursday;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
102;Trading Schedule;Trading Days;TradeFriday;bool;true;Allow Trading on Friday;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
103;Trading Schedule;Trading Days;TradeSaturday;bool;false;Allow Trading on Saturday;;"Explicit weekend permission; useful only when the broker symbol trades Saturday.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
104;Trading Schedule;Trading Days;TradeSunday;bool;false;Allow Trading on Sunday;;"Explicit weekend permission; useful only when the broker symbol trades Sunday.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
105;General Settings;Market Execution;myBlankSpaceExecution;string;"""""";||================== Market Execution ===================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
